Protein A,Protein B,Publications
P40337,Q16665,79
O14920,Q9Y6K9,66
P22681,P62993,64
P42345,Q8N122,60
P05412,P45983,58
P49427,P62877,58
P29353,P62993,52
P25963,Q04206,51
Q12834,Q13257,51
Q13485,Q15796,50
P51668,P62877,49
O15111,Q9Y6K9,49
P06400,Q01094,48
P22681,P27986,48
P84022,Q13485,45
O15151,Q00987,44
P62877,Q13616,44
O60566,Q12834,44
O60563,P50750,43
P40337,Q13617,42
O15111,P25963,39
P62993,Q07889,39
P42345,Q6R327,39
P40337,Q15369,38
Q13158,Q14790,37
O14920,P25963,37
P98170,Q9NR28,36
P35222,Q9Y297,35
Q09472,Q16665,35
P06400,P11802,35
Q13309,Q13616,34
P22681,P46109,34
Q13547,Q96ST3,34
P61077,P62877,32
P51668,Q00987,32
P34932,Q9UNE7,31
Q13619,Q16531,31
P62805,Q09472,31
P51668,Q9UNE7,31
O15169,P49841,31
P63000,Q13153,30
P06730,Q13541,30
P19438,Q13546,30
P12956,P13010,30
P22681,Q96B97,30
P68431,Q09472,30
P06493,P14635,30
P51617,Q9Y4K3,30
O14920,O15111,29
P19838,Q04206,29
P51587,Q06609,29
Q12933,Q13490,29
P01112,P04049,29
Q15022,Q15910,28
O75530,Q15910,27
P49815,Q92574,27
P07900,Q9UNE7,27
Q09028,Q13547,27
Q13618,Q14145,27
Q14457,Q8NEB9,27
P06400,Q13547,26
P46527,Q13309,26
Q13546,Q14790,26
Q13616,Q9Y297,26
P14635,Q12834,26
P08047,Q13547,26
O43318,Q9NYJ8,26
P62913,Q00987,25
P42574,P98170,25
Q13616,Q86VP6,24
P42345,Q13541,24
P25054,P35222,24
O43318,Q9Y4K3,24
P04049,P63104,23
Q16531,Q92466,23
Q14653,Q92793,23
P16220,Q92793,23
Q07817,Q92934,23
P11802,P46527,23
P55211,P98170,23
P25963,Q9Y297,22
O43684,O60566,22
P22681,P46108,22
O43318,Q15750,22
P25963,Q9Y6K9,21
P24928,P50750,21
O94776,Q13547,21
P23443,P42345,21
P19438,Q15628,21
P12004,P39748,21
Q13546,Q9Y6K9,21
Q04206,Q09472,20
P11142,Q9UNE7,20
P30153,P67775,20
O15169,P35222,20
P61088,Q15819,20
Q04206,Q92793,19
P24864,P46527,19
P55072,Q9UKV5,19
P19838,P25963,19
Q13619,Q92466,19
Q9Y230,Q9Y265,19
P50613,P51946,19
P46531,Q06330,18
P42345,Q9BVC4,18
P14635,Q9UM11,18
Q92900,Q9HAU5,18
P07900,Q15185,18
P35222,Q9UJU2,18
P60953,Q13153,18
Q15291,Q9UBL3,18
O15379,Q9Y618,17
P46777,Q00987,17
O95999,Q9UDY8,17
Q13501,Q14145,17
Q13547,Q16576,17
Q9NYJ8,Q9Y4K3,17
P61964,Q9UBL3,17
O60341,Q13547,17
P40692,P54278,17
P84022,Q09472,17
P35222,P49841,17
P61964,Q15291,16
Q6UWZ7,Q96RL1,16
P29590,Q9UER7,16
P07900,P31948,16
P49459,Q9NS91,16
Q16531,Q9Y4B6,16
P24863,P49336,16
O94992,P50750,16
P62877,Q13617,16
P11802,P30281,16
Q12933,Q13546,16
Q13547,Q14839,16
Q13541,Q8N122,16
P20226,Q15542,16
P07900,Q16543,16
P19419,P28482,16
P61077,Q9UNE7,16
Q6R327,Q9BPZ7,15
P07900,Q16665,15
P62993,Q06124,15
P61326,Q9Y5S9,15
O15379,O75376,15
P12004,Q9Y253,15
