Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
AACS,0.9999,0.9755,0.6193,0.1439,0.0889,0.0874,0.0685,0.051,0.0533,0.0415,0.0
AAK1,0.9999,0.8775,0.8597,0.759,0.6505,0.3096,0.1195,0.0847,0.0517,0.0275,0.0
AAMDC,0.9999,1.0073,1.0379,1.0992,1.0694,0.6947,0.6073,0.419,0.1891,0.1743,0.0
AAMP,0.9999,0.9087,0.7486,0.5265,0.3375,0.2769,0.1901,0.1956,0.0387,0.0142,0.0
AAR2,0.9999,0.9377,0.642,0.5013,0.3138,0.214,0.0794,0.0407,0.0479,0.0181,0.0
AARS,0.9999,1.0796,1.0449,1.0107,0.7892,0.5355,0.0955,0.0366,0.0216,0.0117,0.0
AARS2,0.9999,1.0687,1.0876,0.7882,0.4184,0.1664,0.1255,0.0818,0.0464,0.0292,0.0
AASDH,0.9999,0.9333,0.8569,0.6794,0.3921,0.1161,0.0454,0.0489,0.0273,0.0161,0.0
AASDHPPT,0.9999,1.0621,0.9972,0.9789,0.8382,0.3823,0.1076,0.0808,0.0445,0.0208,0.0
ABCE1,0.9999,0.9989,1.0026,1.0534,0.9189,0.8601,0.8338,0.6981,0.3882,0.0492,0.0
ABCF1,0.9999,1.0043,0.9993,0.8881,0.5819,0.3321,0.0727,0.0487,0.0326,0.0198,0.0
ABCF2,0.9999,1.2422,1.287,1.4929,1.0926,0.9302,0.4131,0.0987,0.0448,0.0274,0.0
ABCF3,0.9999,0.8004,0.2906,0.0578,0.0594,0.0352,0.0253,0.0193,0.0156,0.0071,0.0
ABHD10,0.9999,1.0718,1.1384,1.1431,1.281,1.4148,1.3411,1.2718,0.6594,0.0564,0.0
ABHD11,0.9999,0.9341,1.1039,0.7892,0.2961,0.2194,0.1016,0.0591,0.0517,0.0155,0.0
ABHD14B,0.9999,0.8999,0.81,0.6837,0.5918,0.4023,0.1637,0.1142,0.0789,0.0277,0.0
ABI1,0.9999,0.9996,0.9774,0.816,0.6718,0.2393,0.0878,0.0576,0.0364,0.0134,0.0
ABL1,0.9999,0.6876,0.4348,0.2306,0.0869,0.1115,0.044,0.0455,0.0384,0.0369,0.0
ABL2,0.9999,0.8952,0.7064,0.3145,0.2124,0.1456,0.0742,0.0499,0.0351,0.0179,0.0
ABT1,0.9999,0.742,0.3939,0.1044,0.1156,0.0154,0.0407,0.0574,0.0158,0.0096,0.0
ACAA1,0.9999,0.961,0.9403,0.7799,1.0017,0.8034,0.747,0.5784,0.1081,0.0142,0.0
ACAA2,0.9999,1.0309,1.0874,1.1713,1.2644,1.0943,1.1736,1.0401,0.598,0.4906,0.0
ACACA,0.9999,0.8754,0.7533,0.2487,0.0975,0.0716,0.0545,0.0473,0.0342,0.0244,0.0
ACAD10,0.9999,0.9522,0.8728,0.8856,0.6167,0.2352,0.1929,0.1348,0.123,0.0859,0.0
ACAD8,0.9999,0.9786,1.0773,1.0842,1.2812,1.1414,0.7095,0.309,0.1972,0.1463,0.0
ACAD9,0.9999,1.0437,1.076,1.0579,1.045,0.2178,0.0983,0.0818,0.0531,0.0242,0.0
ACADM,0.9999,1.1454,1.2685,1.332,1.4424,1.2739,0.884,0.3098,0.0692,0.0409,0.0
ACADS,0.9999,1.3166,1.1622,1.2467,1.248,0.8993,0.4158,0.2057,0.0898,0.0353,0.0
ACADSB,0.9999,1.0893,1.1513,1.22,1.3513,0.4868,0.2639,0.1677,0.0714,0.0127,0.0
ACADVL,0.9999,1.1108,1.2792,1.2724,1.313,1.0318,0.5615,0.2804,0.0593,0.0294,0.0
ACAP2,0.9999,0.9907,0.9863,0.8148,0.3336,0.1115,0.062,0.0499,0.034,0.023,0.0
ACAT1,0.9999,1.2051,1.117,1.1776,1.2898,1.0009,0.9401,0.3114,0.037,0.0168,0.0
ACAT2,0.9999,1.3424,1.1112,0.9071,0.7978,0.9608,0.4887,0.4489,0.6012,0.0382,0.0
ACBD3,0.9999,0.9624,0.9344,0.8702,0.468,0.1002,0.0585,0.0434,0.0209,0.008,0.0
ACBD6,0.9999,0.8954,0.8009,0.4771,0.0822,0.0494,0.066,0.0657,0.0519,0.0385,0.0
ACIN1,0.9999,1.0238,1.0823,1.1488,1.0614,0.7151,0.5744,0.5285,0.3831,0.4461,0.0
ACLY,0.9999,0.959,0.9896,1.0117,0.9535,0.3653,0.0399,0.0291,0.0208,0.0117,0.0
ACN9,0.9999,1.1525,1.1657,1.0074,0.7569,0.3892,0.1228,0.0553,0.0249,0.0166,0.0
ACO1,0.9999,1.0373,1.0229,1.0654,0.8968,0.6182,0.1855,0.0547,0.0339,0.0145,0.0
ACO2,0.9999,1.0974,1.1545,1.1422,0.7038,0.1536,0.0702,0.0577,0.0421,0.0284,0.0
ACOT13,0.9999,1.0607,1.12,1.134,1.2512,1.1444,0.9331,0.8575,0.8042,0.6178,0.0
ACOT7,0.9999,0.9437,0.8998,0.9516,0.8979,0.7724,0.7043,0.6479,0.4643,0.0655,0.0
ACOT9,0.9999,0.9259,0.9639,0.9945,1.0266,0.4847,0.1562,0.078,0.0643,0.0288,0.0
ACOX1,0.9999,1.0045,0.9001,0.7851,0.9906,0.7504,0.7288,0.6131,0.456,0.378,0.0
ACP1,0.9999,0.9887,0.9039,0.5422,0.1871,0.098,0.0266,0.0235,0.0073,0.0079,0.0
ACP2,0.9999,0.9208,0.9092,0.9701,0.8608,0.6011,0.5802,0.3941,0.1178,0.0615,0.0
ACSF3,0.9999,0.9839,1.0478,0.8442,0.3773,0.1601,0.1199,0.0969,0.0614,0.0294,0.0
ACSL1,0.9999,0.9999,0.8602,0.8121,0.4895,0.163,0.0898,0.0758,0.0607,0.032,0.0
ACSL3,0.9999,0.9948,0.9256,0.7122,0.5598,0.1589,0.0944,0.0582,0.0384,0.0244,0.0
ACSL4,0.9999,1.0616,0.6144,0.2166,0.2259,0.1607,0.0023,0.0,0.0209,0.0309,0.0
ACSM3,0.9999,1.0256,0.9346,0.4441,0.1437,0.0738,0.0467,0.0381,0.0201,0.011,0.0
ACSS2,0.9999,1.1251,1.0407,0.9843,0.6981,0.2396,0.0517,0.0383,0.0202,0.0098,0.0
ACTB|ACTG1,0.9999,1.0598,1.0084,0.8604,0.8237,0.7199,0.3431,0.2158,0.2062,0.1037,0.0
ACTL6A,0.9999,1.0268,0.9393,0.922,0.706,0.3043,0.1084,0.0747,0.0335,0.0093,0.0
ACTN1,0.9999,0.9974,0.9704,1.0099,1.0718,0.7981,0.537,0.3255,0.0319,0.02,0.0
ACTN4,0.9999,1.0571,1.0047,1.052,1.1075,0.9006,0.4635,0.3333,0.0323,0.0212,0.0
ACTR10,0.9999,1.1223,1.0268,0.916,0.7182,0.5412,0.2336,0.1377,0.2069,0.0331,0.0
ACTR1A,0.9999,1.018,0.9352,0.9016,0.9582,0.4589,0.4256,0.3021,0.1008,0.0234,0.0
ACTR1B,0.9999,0.8819,0.8988,0.885,1.0365,0.472,0.4379,0.2987,0.0669,0.0235,0.0
ACTR2,0.9999,0.9906,0.9344,0.903,0.6891,0.5649,0.3316,0.2313,0.0978,0.012,0.0
ACTR3,0.9999,1.0321,1.0346,1.1223,0.9708,0.8191,0.4991,0.3495,0.1669,0.0379,0.0
ACYP2,0.9999,1.0158,0.9294,0.9722,0.9024,0.6424,0.2349,0.0961,0.0114,0.0074,0.0
ADA,0.9999,0.967,0.9691,0.9769,0.9792,0.8421,0.6383,0.4813,0.3445,0.0789,0.0
ADAL,0.9999,1.0422,1.0236,1.1526,1.1313,0.9976,1.0676,0.9233,0.606,0.3087,0.0
ADD1,0.9999,1.0585,1.1043,0.9814,0.9132,0.582,0.3726,0.2463,0.1333,0.0754,0.0
ADD2,0.9999,1.0346,1.022,0.9458,0.9095,0.5596,0.3727,0.2316,0.1144,0.0493,0.0
ADD3,0.9999,1.0021,0.9858,0.8964,0.7928,0.5536,0.2935,0.1604,0.1045,0.063,0.0
ADH5,0.9999,0.9991,0.9919,1.0867,1.0462,0.8872,0.9578,0.8049,0.3636,0.0685,0.0
ADI1,0.9999,1.1176,0.9751,0.7331,0.3235,0.1793,0.0875,0.0662,0.0479,0.0186,0.0
ADK,0.9999,0.9827,1.0013,1.1597,1.1408,0.9156,0.961,0.737,0.1576,0.0372,0.0
ADNP,0.9999,1.0489,0.7345,0.286,0.1407,0.1038,0.0507,0.0593,0.0318,0.0225,0.0
ADO,0.9999,0.9879,0.9814,1.0578,0.8829,0.6107,0.479,0.4324,0.1848,0.0862,0.0
ADPRHL2,0.9999,0.9894,1.0406,1.1223,0.9818,0.6475,0.2479,0.0949,0.0356,0.027,0.0
ADRBK1,0.9999,1.0075,0.9356,0.8259,0.585,0.2801,0.0719,0.0544,0.0396,0.0171,0.0
ADRM1,0.9999,0.879,0.8779,0.753,0.6607,0.2351,0.0724,0.0471,0.0498,0.0335,0.0
ADSL,0.9999,0.9859,0.9659,0.9799,0.9081,0.8483,0.7226,0.6335,0.219,0.0198,0.0
ADSS,0.9999,1.0681,1.0793,1.0768,0.9321,0.92,0.651,0.432,0.0741,0.0227,0.0
ADSSL1,0.9999,0.9408,0.9599,0.9407,0.9917,0.6596,0.6304,0.4379,0.0743,0.0273,0.0
AFTPH,0.9999,0.9619,0.9276,0.878,0.6048,0.1516,0.1011,0.0794,0.0344,0.0482,0.0
AGAP3,0.9999,0.9165,0.5886,0.2128,0.0788,0.0604,0.0387,0.0339,0.0199,0.0084,0.0
AGFG1,0.9999,1.0211,1.0759,0.9465,0.7936,0.4378,0.0952,0.0308,0.025,0.0173,0.0
AGO2,0.9999,0.8864,0.7807,0.7071,0.4452,0.2483,0.1911,0.1608,0.1489,0.1034,0.0
AGPS,0.9999,1.0345,1.0613,0.9219,1.1369,0.4172,0.092,0.0974,0.0598,0.0397,0.0
AHCY,0.9999,0.9645,0.9759,1.0669,0.9762,0.8683,0.8334,0.7024,0.5208,0.215,0.0
AHCYL1,0.9999,0.9772,0.9396,0.8879,0.6919,0.4761,0.2288,0.1315,0.0881,0.0263,0.0
AHCYL2,0.9999,0.9002,0.9418,0.7596,0.6183,0.4724,0.3022,0.2518,0.183,0.0764,0.0
AHNAK,0.9999,0.9413,0.8442,0.7039,0.5036,0.4388,0.338,0.3864,0.2522,0.3598,0.0
AHSA1,0.9999,0.9665,0.9655,1.0034,0.6207,0.1412,0.0465,0.0392,0.0203,0.0121,0.0
AIF1,0.9999,0.9785,0.9264,0.9163,0.8245,0.5479,0.2699,0.2001,0.1871,0.0969,0.0
AIFM1,0.9999,1.0851,1.0396,0.982,1.259,1.312,2.4405,2.4667,1.093,0.0603,0.0
AIMP1,0.9999,0.8965,0.747,0.365,0.1193,0.0557,0.0476,0.0365,0.0256,0.0187,0.0
AIMP2,0.9999,0.9047,0.8,0.4,0.2098,0.133,0.0936,0.0726,0.0409,0.0182,0.0
AIP,0.9999,0.9812,0.9469,0.7828,0.2877,0.0784,0.0442,0.0402,0.0203,0.0104,0.0
AK1,0.9999,1.0288,1.0549,1.0274,0.626,0.203,0.0492,0.0369,0.025,0.0189,0.0
AK2,0.9999,1.1098,1.1199,1.2357,1.375,1.307,1.2451,1.1702,0.8213,0.0616,0.0
AK3,0.9999,1.0555,1.1672,1.2994,1.4422,1.2419,1.1132,0.5765,0.0412,0.0198,0.0
AK4,0.9999,1.0126,1.0831,1.0185,1.0787,0.8454,0.3212,0.1047,0.2042,0.0246,0.0
AK6,0.9999,0.9989,0.8624,0.244,0.0238,0.0135,0.0115,0.0056,0.0071,0.0072,0.0
AKAP8,0.9999,0.9015,1.0405,0.6696,0.4858,0.2495,0.0989,0.064,0.1248,0.0854,0.0
AKAP8L,0.9999,0.8588,0.5943,0.2481,0.0617,0.0291,0.0184,0.0148,0.0102,0.0066,0.0
AKAP9,0.9999,1.0282,0.7373,0.2692,0.1176,0.0692,0.0396,0.0601,0.0246,0.0152,0.0
AKR1A1,0.9999,0.9697,0.9813,1.0584,0.8899,0.3364,0.0421,0.0602,0.0523,0.0115,0.0
AKR1B1,0.9999,1.0226,0.9622,1.0698,0.9515,0.8318,0.441,0.1262,0.0289,0.0212,0.0
AKR1C1,0.9999,1.0658,0.8417,0.1332,0.0291,0.0521,0.036,0.0343,0.0234,0.017,0.0
AKR1C3,0.9999,1.1054,1.1297,1.1108,0.588,0.325,0.201,0.1366,0.1181,0.0292,0.0
AKR7A2,0.9999,1.0153,1.0305,1.1016,1.0549,0.7131,0.0867,0.0555,0.028,0.0384,0.0
AKT1,0.9999,0.9418,0.8507,0.6429,0.2519,0.0955,0.0502,0.0429,0.0332,0.0191,0.0
AKT2,0.9999,0.9642,0.8786,0.7815,0.4143,0.1113,0.0386,0.0172,0.0118,0.0058,0.0
ALAD,0.9999,0.8686,0.8719,0.851,0.8747,0.7019,0.7662,0.6319,0.3648,0.5673,0.0
ALDH16A1,0.9999,0.8821,0.7552,0.6983,0.6522,0.4631,0.4139,0.3144,0.0796,0.0108,0.0
ALDH18A1,0.9999,1.0088,0.9964,1.0585,0.9811,0.4286,0.1823,0.0989,0.0659,0.0424,0.0
ALDH1A1,0.9999,0.9367,0.9391,1.0038,0.9219,0.8225,0.6562,0.5482,0.3787,0.2196,0.0
ALDH1A2,0.9999,0.9391,0.9785,0.997,0.9072,0.7846,0.6626,0.5496,0.3079,0.0934,0.0
ALDH1B1,0.9999,1.139,1.3137,1.2449,1.2549,0.8564,0.1611,0.048,0.0282,0.013,0.0
ALDH1L2,0.9999,0.9679,0.9434,0.7891,0.4697,0.1851,0.0711,0.0457,0.0225,0.0096,0.0
ALDH2,0.9999,0.9901,1.091,1.163,1.2779,1.0132,0.247,0.1194,0.0625,0.0328,0.0
ALDH4A1,0.9999,1.1491,1.2489,1.1824,0.9983,0.6231,0.1096,0.0784,0.0568,0.0344,0.0
ALDH5A1,0.9999,1.118,1.1296,1.1885,1.1801,1.12,0.925,0.621,0.1034,0.0541,0.0
ALDH6A1,0.9999,1.0696,0.9995,0.6646,0.3634,0.1256,0.0632,0.0446,0.0229,0.0108,0.0
ALDH9A1,0.9999,1.0049,1.0048,1.0753,0.992,0.8467,0.6384,0.3775,0.1003,0.0206,0.0
ALDOA,0.9999,1.0901,1.0076,0.9779,0.9285,0.8546,0.7262,0.6024,0.4766,0.0773,0.0
ALDOC,0.9999,0.9386,0.9752,1.0244,0.9623,0.7536,0.7559,0.6148,0.217,0.028,0.0
ALKBH3,0.9999,0.9108,0.9495,0.8911,0.5922,0.553,0.3623,0.3398,0.2981,0.1762,0.0
ALKBH4,0.9999,0.9551,0.8962,0.7485,0.4616,0.1293,0.2965,0.6601,0.1369,0.0416,0.0
ALKBH5,0.9999,0.9636,0.8375,0.5814,0.4126,0.2853,0.2608,0.2423,0.147,0.1084,0.0
ALKBH6,0.9999,0.973,0.852,0.629,0.4393,0.3922,0.3055,0.251,0.1574,0.0897,0.0
