Accession,T37.0,T41.0,T44.0,T47.0,T50.0,T53.0,T56.0,T59.0,T63.0,T67.0,RSD
###RWDD1###|RWDD1,0.9999,0.8029,0.7387,0.8582,0.9898,0.6433,0.1818,0.1442,0.0338,0.0524,0.0
###TEKT2###|MRPL50,0.9999,204.4955,0.0,25.293,1.2222,2.5336,0.0,5.5426,0.0,6.8555,0.0
AACS,0.9999,0.956,0.571,0.1965,0.1568,0.1147,0.0987,0.0833,0.0376,0.0322,0.0
AAK1,0.9999,0.9335,0.8637,0.7639,0.5531,0.251,0.0881,0.0896,0.0726,0.0179,0.0
AAMDC,0.9999,0.9244,0.9007,1.0858,0.9836,0.6758,0.4795,0.4018,0.3355,0.2089,0.0
AARS,0.9999,1.0213,0.9234,0.9995,0.7033,0.3732,0.0576,0.0244,0.0154,0.0067,0.0
AARS2,0.9999,1.1406,0.8397,0.6596,0.2495,0.0978,0.047,0.038,0.0273,0.0143,0.0
AARSD1,0.9999,1.0382,1.0436,0.9551,0.3241,0.0484,0.0121,0.0134,0.0051,0.0001,0.0
AASDH,0.9999,0.9379,0.916,0.7205,0.3988,0.2018,0.0843,0.096,0.0307,0.0103,0.0
AASDHPPT,0.9999,0.974,0.9868,1.0236,0.7455,0.3385,0.0423,0.0491,0.006,0.0085,0.0
ABCE1,0.9999,0.9365,1.0173,1.0402,0.9691,0.9531,0.8556,0.7128,0.576,0.0825,0.0
ABCF1,0.9999,0.9293,0.9848,0.9465,0.58,0.3172,0.1008,0.0781,0.0621,0.036,0.0
ABCF2,0.9999,0.9607,0.9278,0.8394,0.5852,0.233,0.0848,0.0284,0.0519,0.0119,0.0
ABCF3,0.9999,0.7649,0.1977,0.0513,0.0417,0.0267,0.0171,0.0155,0.0157,0.0047,0.0
ABHD10,0.9999,1.135,0.9963,1.0563,1.2386,1.7458,1.8163,1.6878,1.2975,0.1304,0.0
ABHD11,0.9999,1.1861,0.9344,0.6828,0.3243,0.1681,0.0603,0.0335,0.0146,0.0059,0.0
ABHD14A|ACY1,0.9999,1.1497,1.1564,0.9795,0.7883,0.7134,0.6616,0.4864,0.5402,0.41,0.0
ABHD14B,0.9999,0.9756,0.8225,0.8737,0.7764,0.3017,0.1542,0.0453,0.1695,0.0248,0.0
ABL1,0.9999,0.7595,0.4584,0.2856,0.1369,0.0802,0.0603,0.032,0.0452,0.0134,0.0
ABL2,0.9999,0.949,0.6589,0.2175,0.1354,0.0811,0.0447,0.0429,0.019,0.005,0.0
ACAA1,0.9999,0.9332,0.9415,1.0037,1.046,0.7909,0.7203,0.4034,0.0664,0.0059,0.0
ACAA2,0.9999,1.1014,0.9528,1.2514,1.4182,1.5108,1.4332,1.2214,1.4184,0.9633,0.0
ACACA,0.9999,1.0157,0.8948,0.2221,0.1379,0.0934,0.0591,0.0375,0.0229,0.0116,0.0
ACAD8,0.9999,1.0551,0.9937,0.8461,0.8525,0.5939,0.3982,0.2028,0.1176,0.0606,0.0
ACAD9,0.9999,1.093,0.8329,1.0955,0.8667,0.2058,0.1201,0.0857,0.0688,0.0313,0.0
ACADM,0.9999,1.1939,1.0657,1.2459,1.2329,1.0593,0.69,0.2293,0.0653,0.042,0.0
ACADS,0.9999,1.2808,1.0405,1.1088,1.1649,0.7718,0.347,0.1861,0.0433,0.005,0.0
ACADSB,0.9999,1.2805,1.0475,1.2982,1.0092,0.4496,0.2158,0.1501,0.0731,0.0113,0.0
ACADVL,0.9999,1.2333,1.1555,1.3636,1.3277,1.0323,0.7049,0.3422,0.0758,0.0306,0.0
ACAP2,0.9999,0.9445,0.9516,0.7457,0.2836,0.0848,0.0435,0.04,0.0361,0.0114,0.0
ACAT1,0.9999,1.0289,0.8885,1.158,1.2784,1.152,0.8029,0.207,0.0443,0.0142,0.0
ACAT2,0.9999,1.1163,1.1066,1.0282,0.9484,0.9154,0.7977,0.679,0.5244,0.0333,0.0
ACBD3,0.9999,1.0574,1.0075,0.9218,0.4804,0.1514,0.0808,0.0431,0.033,0.0082,0.0
ACIN1,0.9999,1.061,1.3626,1.2486,1.3878,0.7107,0.4689,0.3535,0.4703,0.577,0.0
ACLY,0.9999,1.0461,1.1832,1.1019,0.9847,0.3466,0.0457,0.034,0.0319,0.0091,0.0
ACN9,0.9999,1.1962,1.0424,0.7885,0.4525,0.2426,0.0595,0.0241,0.0189,0.0007,0.0
ACO1,0.9999,1.0236,1.0701,1.0807,0.848,0.6635,0.2203,0.0701,0.0301,0.0113,0.0
ACO2,0.9999,1.1903,1.0365,1.1318,0.5727,0.1127,0.0565,0.0507,0.0353,0.0191,0.0
ACOT13,0.9999,0.9931,1.0335,0.9724,0.8747,0.9806,0.8309,0.7468,0.9317,0.7837,0.0
ACOT7,0.9999,0.9227,0.8434,0.8823,0.7598,0.7181,0.5982,0.5237,0.4934,0.0712,0.0
ACOT9,0.9999,1.297,1.0495,1.5629,1.8088,0.6002,0.2664,0.1272,0.0743,0.0363,0.0
ACOX1,0.9999,0.9888,0.9818,0.9471,1.2989,1.12,1.2598,0.8618,0.9547,0.7456,0.0
ACP1,0.9999,0.8509,0.7921,0.3756,0.1569,0.0826,0.0584,0.057,0.0145,0.0024,0.0
ACP2,0.9999,1.0318,0.9275,0.9185,1.0177,0.8205,0.7381,0.4352,0.1575,0.0375,0.0
ACSF3,0.9999,1.171,0.9327,0.6064,0.1672,0.046,0.0312,0.0134,0.0057,0.0002,0.0
ACSL3,0.9999,1.0096,0.8675,0.862,0.5506,0.2631,0.2493,0.0868,0.0642,0.0653,0.0
ACSM3,0.9999,1.0694,0.6313,0.3213,0.1109,0.0634,0.0336,0.025,0.0165,0.0016,0.0
ACSS2,0.9999,1.0157,1.0595,1.0046,0.685,0.1589,0.0612,0.0487,0.0215,0.0172,0.0
ACTA2|ACTG2|ACTC1|ACTA1,0.9999,0.7657,0.7406,1.0297,1.1404,0.7947,0.4452,0.3324,0.3157,0.2875,0.0
ACTB|ACTG1,0.9999,1.0107,1.0131,0.984,0.9725,0.7557,0.4452,0.2394,0.2345,0.1735,0.0
ACTG1,0.9999,1.0974,1.0959,0.9653,0.6702,0.7024,0.4893,0.2992,0.1088,0.0682,0.0
ACTL6A,0.9999,1.1468,1.105,0.8705,0.6371,0.2553,0.1103,0.0866,0.0313,0.0164,0.0
ACTN1,0.9999,1.0244,1.0768,1.0381,0.9951,0.9637,0.7733,0.4049,0.015,0.0145,0.0
ACTN4,0.9999,0.9994,1.0916,1.0744,0.9336,0.929,0.7488,0.4449,0.0172,0.008,0.0
ACTR10,0.9999,1.0183,0.9937,1.0425,0.9966,0.743,0.5068,0.3315,0.2795,0.1767,0.0
ACTR1A,0.9999,1.0422,1.0452,1.0677,1.1747,0.6106,0.5153,0.3463,0.143,0.0103,0.0
ACTR1B,0.9999,1.1422,1.1183,1.3576,1.3261,0.7458,0.7532,0.411,0.1446,0.0397,0.0
ACTR2,0.9999,0.9677,0.9854,0.8908,0.7492,0.582,0.3699,0.2401,0.1246,0.0076,0.0
ACTR3,0.9999,1.0682,1.1735,1.0704,0.9811,0.79,0.5488,0.3072,0.1608,0.0294,0.0
ACYP2,0.9999,0.9195,0.8036,0.9382,0.9302,0.59,0.3095,0.1216,0.0565,0.0716,0.0
ADA,0.9999,0.9477,0.9068,0.9156,0.9546,0.8188,0.7143,0.5973,0.579,0.1103,0.0
ADAL,0.9999,0.9284,0.9124,0.9328,0.9618,0.8386,0.7727,0.6891,0.7549,0.2366,0.0
ADAR,0.9999,1.13,1.0047,0.573,0.4444,0.2745,0.1639,0.1132,0.1239,0.06,0.0
ADD1,0.9999,0.9762,1.0439,1.0517,0.8836,0.5905,0.4317,0.2901,0.1929,0.1351,0.0
ADD2,0.9999,0.9905,1.004,0.9367,0.8442,0.5876,0.4011,0.2713,0.1548,0.0677,0.0
ADD3,0.9999,0.9198,1.0468,0.9265,0.9317,0.5066,0.3355,0.2276,0.1423,0.107,0.0
ADH5,0.9999,0.9695,0.9535,1.0693,1.0649,0.9742,0.9212,0.7984,0.672,0.1144,0.0
ADI1,0.9999,0.9578,0.7723,0.6941,0.4078,0.1703,0.0836,0.0749,0.0469,0.035,0.0
ADK,0.9999,0.9431,0.9449,1.0514,0.9554,0.8096,0.6147,0.4306,0.032,0.0062,0.0
ADO,0.9999,0.9702,0.9005,0.9507,0.8128,0.6327,0.5102,0.38,0.2156,0.0603,0.0
ADPRHL2,0.9999,1.0374,1.0153,1.0886,0.7996,0.5953,0.2235,0.0579,0.0476,0.0492,0.0
ADRBK1,0.9999,0.861,0.9126,0.845,0.5992,0.2315,0.1251,0.1766,0.0407,0.0251,0.0
ADRM1,0.9999,1.0158,1.0695,0.9249,0.7423,0.2501,0.0968,0.0909,0.0433,0.0636,0.0
ADSL,0.9999,0.9271,0.985,1.0487,1.0799,0.9796,0.9476,0.881,0.2739,0.0232,0.0
ADSS,0.9999,0.96,0.9741,0.9462,0.8925,0.7537,0.5944,0.2897,0.103,0.0501,0.0
AGAP1,0.9999,0.9019,0.7681,0.6736,0.4292,0.5945,0.5737,0.2652,0.039,0.0539,0.0
AGAP3,0.9999,0.8756,0.6322,0.3173,0.25,0.132,0.0887,0.0233,0.0453,0.0071,0.0
AGFG1,0.9999,0.9989,0.9036,0.8858,0.7595,0.467,0.1105,0.0622,0.0199,0.0228,0.0
AGL,0.9999,1.0572,1.1568,0.8516,0.3466,0.074,0.0882,0.0649,0.0296,0.0081,0.0
AGO2,0.9999,0.9787,0.9747,0.6291,0.3931,0.2477,0.2325,0.2107,0.299,0.1305,0.0
AGO3,0.9999,0.8719,0.7971,0.6379,0.4476,0.3799,0.2551,0.1113,0.2513,0.047,0.0
AHCY,0.9999,0.9344,0.9566,1.0152,1.0146,0.9186,0.905,0.7581,0.7978,0.2636,0.0
AHCYL1,0.9999,0.9803,0.9522,0.7972,0.5121,0.3656,0.2322,0.1572,0.091,0.0124,0.0
AHCYL2,0.9999,0.9897,1.0469,0.8175,0.6964,0.5637,0.4674,0.4159,0.372,0.1063,0.0
AHNAK,0.9999,0.918,0.9017,0.7217,0.6223,0.5101,0.4081,0.3886,0.3473,0.5266,0.0
AHSA1,0.9999,0.8841,0.843,0.85,0.5621,0.1656,0.0744,0.0609,0.0247,0.0101,0.0
AIFM1,0.9999,0.7487,0.7886,0.9911,1.3734,1.4334,2.7207,3.0355,1.3858,0.0398,0.0
AIMP1,0.9999,1.1003,1.003,0.4182,0.1214,0.0723,0.0559,0.0435,0.0326,0.0217,0.0
AIMP2,0.9999,0.9975,0.7705,0.3529,0.2207,0.1684,0.1058,0.0881,0.0837,0.0362,0.0
AK1,0.9999,0.9276,0.8912,0.8053,0.4321,0.1248,0.0484,0.041,0.0246,0.0173,0.0
AK2,0.9999,1.0631,1.0061,1.145,1.2159,1.2477,1.1644,0.9876,0.5209,0.0295,0.0
AK3,0.9999,1.146,0.9766,1.278,1.2465,1.1779,0.7201,0.2141,0.0112,0.0161,0.0
AK6,0.9999,0.9568,0.7699,0.3086,0.1115,0.0877,0.0606,0.037,0.0324,0.0099,0.0
AKAP8L,0.9999,0.8592,0.5993,0.2301,0.0627,0.0563,0.021,0.0277,0.0229,0.0061,0.0
AKAP9,0.9999,1.0016,0.7251,0.296,0.1324,0.0436,0.0459,0.0597,0.0373,0.0332,0.0
AKR1A1,0.9999,0.9676,0.9827,1.0372,0.8445,0.2654,0.082,0.1191,0.0469,0.0332,0.0
AKR1B1,0.9999,1.0839,0.9809,1.0247,0.9294,0.8274,0.458,0.104,0.0379,0.0224,0.0
AKR1C1,0.9999,0.9404,0.7669,0.2749,0.1627,0.1031,0.0944,0.0649,0.0375,0.0206,0.0
AKR1C3,0.9999,0.8698,0.8816,0.8795,0.5374,0.3175,0.1874,0.1928,0.1521,0.0186,0.0
AKR7A2,0.9999,1.0192,0.9808,1.0188,0.904,0.518,0.0638,0.0307,0.0241,0.0075,0.0
AKT1,0.9999,0.9914,0.661,0.4071,0.1148,0.0497,0.0293,0.0331,0.0373,0.015,0.0
AKT1S1,0.9999,0.8552,0.9167,1.1143,1.2443,0.961,0.5669,0.3186,0.4576,0.1312,0.0
AKT2,0.9999,0.9128,0.8646,0.7152,0.3763,0.1272,0.0619,0.0794,0.0253,0.0038,0.0
ALAD,0.9999,0.9668,0.8579,0.8386,0.9347,0.7536,0.732,0.6058,1.0923,0.8505,0.0
ALB,0.9999,1.0867,1.0063,1.0427,1.0146,0.8051,0.7147,0.6024,0.6953,0.5353,0.0
