Accession,Description,GeneName,Peptides.MTX,PSMs.MTX,AAs.MTX,MW.kDA.MTX,pI.MTX,QuantifyingPSMs.MTX,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,UBA6,52,255,1052,117.895,6.14,93,0.996,0.958,0.982,0.893,0.602,0.317,0.180,0.111,0.096,0.087
A0FGR8,Isoform 6 of Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2,ESYT2,7,14,942,104.643,9.33,6,0.996,1.030,0.925,0.922,0.739,0.738,0.452,0.339,0.175,0.122
A0JNW5,UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2,UHRF1BP1L,2,4,1464,164.095,6.32,2,0.996,1.051,1.042,0.996,0.980,0.755,0.449,0.167,0.125,0.117
A0MZ66,Isoform 3 of Shootin-1 OS=Homo sapiens GN=KIAA1598,KIAA1598,23,55,649,73.564,5.45,20,0.996,1.012,0.936,0.802,0.538,0.363,0.234,0.190,0.140,0.114
A1A5D9,Bicaudal D-related protein 2 OS=Homo sapiens GN=CCDC64B PE=2 SV=2,CCDC64B,2,5,508,56.8,5.02,1,0.996,0.914,0.967,0.904,0.886,0.615,0.604,0.490,0.419,0.399
A2A274,"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=2 SV=1",ACO2,39,176,805,87.765,7.37,63,0.996,0.977,0.963,0.941,0.703,0.384,0.175,0.101,0.078,0.072
A2A2Q9,Chromosome 20 open reading frame 4 OS=Homo sapiens GN=C20orf4 PE=4 SV=1,C20orf4,3,11,398,45.005,7.46,5,0.996,1.084,0.937,0.795,0.574,0.446,0.265,0.220,0.206,0.170
A2ABF9,Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens GN=EHMT2 PE=2 SV=1,EHMT2,12,24,1267,138.682,6.04,10,0.996,0.974,0.918,0.736,0.591,0.427,0.293,0.221,0.182,0.161
A2RTX5,"Probable threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens GN=TARSL2 PE=1 SV=1",TARSL2,7,19,802,92.586,6.05,3,0.996,0.939,0.926,0.674,0.480,0.287,0.155,0.103,0.079,0.074
A2RUC4,tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens GN=TYW5 PE=1 SV=1,TYW5,2,3,315,36.525,7.55,1,0.996,1.193,1.021,0.774,0.799,0.631,0.304,0.215,0.126,0.114
A3KN83,Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1,SBNO1,18,40,1393,154.216,7.88,17,0.996,1.003,0.943,0.892,0.660,0.434,0.237,0.192,0.175,0.098
A4D126,Isoprenoid synthase domain-containing protein OS=Homo sapiens GN=ISPD PE=1 SV=2,ISPD,6,12,451,49.841,6.25,5,0.996,1.028,0.951,0.935,0.885,0.802,0.736,0.590,0.452,0.442
A4D1E9,GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1,GTPBP10,2,6,387,42.906,9.03,2,0.996,0.936,0.976,0.733,0.612,0.452,0.345,0.263,0.202,0.163
A4D1P6,WD repeat-containing protein 91 OS=Homo sapiens GN=WDR91 PE=1 SV=2,WDR91,9,17,747,83.292,6.58,7,0.996,1.005,0.930,0.723,0.506,0.392,0.218,0.149,0.114,0.062
A4D212,DKFZP586J0619 protein OS=Homo sapiens GN=DKFZP586J0619 PE=2 SV=1,DKFZP586J0619,7,14,2394,265.588,6.68,7,0.996,1.108,0.854,0.660,0.471,0.364,0.240,0.156,0.147,0.112
A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2,POTEF,6,442,1075,121.367,6.2,1,0.996,0.936,1.190,1.161,1.215,0.998,0.758,0.574,0.366,0.271
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,CNOT1,43,134,2376,266.768,7.11,44,0.996,1.011,0.985,0.822,0.534,0.304,0.194,0.126,0.103,0.082
A6NCE7,Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1,MAP1LC3B2,2,8,125,14.619,8.68,3,0.996,1.090,1.094,1.079,0.936,0.654,0.407,0.177,0.086,0.053
A6NDB9,Paralemmin-3 OS=Homo sapiens GN=PALM3 PE=1 SV=2,PALM3,2,3,673,71.652,4.53,2,0.996,1.046,0.788,0.861,0.774,0.718,0.535,0.471,0.392,0.310
