Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Ensembl Gene ID,Chromosome,WikiPathways,Gene Symbol,KEGG Pathways,Reactome Pathways,# Protein Pathway Groups,# Razor Peptides,"Abundances (Normalized): F1: 126, Sample","Abundances (Normalized): F1: 127N, Sample","Abundances (Normalized): F1: 127C, Sample","Abundances (Normalized): F1: 128N, Sample","Abundances (Normalized): F1: 128C, Sample","Abundances (Normalized): F1: 129N, Sample","Abundances (Normalized): F1: 129C, Sample","Abundances (Normalized): F1: 130N, Sample","Abundances (Normalized): F1: 130C, Sample","Abundances (Normalized): F1: 131, Sample","Abundance: F1: 126, Sample","Abundance: F1: 127N, Sample","Abundance: F1: 127C, Sample","Abundance: F1: 128N, Sample","Abundance: F1: 128C, Sample","Abundance: F1: 129N, Sample","Abundance: F1: 129C, Sample","Abundance: F1: 130N, Sample","Abundance: F1: 130C, Sample","Abundance: F1: 131, Sample","Found in Sample: [S1] F1: 126, Sample","Found in Sample: [S3] F1: 127C, Sample","Found in Sample: [S2] F1: 127N, Sample","Found in Sample: [S5] F1: 128C, Sample","Found in Sample: [S4] F1: 128N, Sample","Found in Sample: [S7] F1: 129C, Sample","Found in Sample: [S6] F1: 129N, Sample","Found in Sample: [S9] F1: 130C, Sample","Found in Sample: [S8] F1: 130N, Sample","Found in Sample: [S10] F1: 131, Sample",# Protein Groups,Modifications
FALSE,High,Master Protein,P49327,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,0,FALSE,1007.218,56,121,353,120,2511,273.3,6.44,1232.6,121,cell differentiation;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;Golgi;membrane;mitochondrion,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00106, Pf00107, Pf00108, Pf00109, Pf00698, Pf00975, Pf02801, Pf08242, Pf08659, Pf13602, Pf14765",2194,ENSG00000169710.8,17,AMP-activated Protein Kinase (AMPK) Signaling; Sterol Regulatory Element-Binding Proteins (SREBP) signalling; SREBF and miR33 in cholesterol and lipid homeostasis; Liver X Receptor Pathway; Fatty Acid Biosynthesis; Angiopoietin Like Protein 8 Regulatory Pathway,FASN,Fatty acid metabolism; AMPK signaling pathway; Insulin signaling pathway; Metabolic pathways; Fatty acid biosynthesis,ChREBP activates metabolic gene expression; Fatty acyl-CoA biosynthesis; Vitamin B5 (pantothenate) metabolism; Activation of gene expression by SREBF (SREBP),23,1,77952.9,79911.2,82717.9,75690,47587.3,39242.6,36135,37372.2,40812.6,48293.9,77952.9,55714.3,60302.6,68844.7,18691.2,12886.1,11168.2,7625.4,3785.7,3396.3,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,0,FALSE,872.155,71,88,532,61,724,83.2,5.03,1766.43,88,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen,enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",3326,ENSG00000096384.19,6,NRF2 pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,HSP90AB1,Prostate cancer; NOD-like receptor signaling pathway; Estrogen signaling pathway; Pathways in cancer; Antigen processing and presentation; Protein processing in endoplasmic reticulum; Progesterone-mediated oocyte maturation; PI3K-Akt signaling pathway,Sema3A PAK dependent Axon repulsion; HSF1 activation; Attenuation phase; Neutrophil degranulation; Aryl hydrocarbon receptor signalling; Uptake and function of diphtheria toxin; Regulation of actin dynamics for phagocytic cup formation; The NLRP3 inflammasome; HSP90 chaperone cycle for steroid hormone receptors (SHR); The role of GTSE1 in G2/M progression after G2 checkpoint,42,38,121273.7,125876,134481.6,127833.3,130732.3,109919.7,95640.7,68469.6,60323,67156.5,121273.7,87761.1,98039.1,116272.3,51348.7,36094.5,29559.7,13970.5,5595.5,4722.8,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,FALSE,856.906,60,130,251,110,1960,226.4,5.6,900.61,130,cell differentiation;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus,catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding;transporter activity,"Pf00063, Pf01442, Pf01496, Pf01576, Pf01765, Pf02736, Pf03962, Pf04111, Pf04156, Pf05911, Pf06637, Pf07888, Pf09731, Pf11068, Pf11559, Pf12128, Pf13094",4627,ENSG00000100345.20,22,Primary Focal Segmental Glomerulosclerosis FSGS; VEGFA-VEGFR2 Signaling Pathway,MYH9,Tight junction; Regulation of actin cytoskeleton; Salmonella infection,RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; Regulation of actin dynamics for phagocytic cup formation; RHO GTPases activate CIT; RHO GTPases activate PKNs,23,22,54326.9,60094.5,60462.9,61723.6,54162.2,33311.7,29363.7,29981,31432.7,30531.4,54326.9,41898,44078.4,56141.4,21273.7,10938.6,9075.4,6117.3,2915.7,2147.1,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,FALSE,741.099,97,63,374,57,434,47.1,7.39,1243.26,63,metabolic process;regulation of biological process;response to stimulus,cell surface;cytoplasm;cytosol;membrane;nucleus,catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding,"Pf00113, Pf03952, Pf13378",2023,ENSG00000074800.13,1,Glycolysis and Gluconeogenesis,ENO1,Metabolic pathways; Glycolysis / Gluconeogenesis; Biosynthesis of amino acids; Carbon metabolism; RNA degradation; HIF-1 signaling pathway,Gluconeogenesis; Glycolysis,12,7,71450.3,74584.5,76982.5,73575.9,101730.5,113019.2,129827.5,140661.1,131551.4,54828.2,71450.3,52000.5,56121.4,66921.8,39957.4,37112.3,40125.8,28700.5,12202.6,3855.8,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",0,FALSE,728.49,73,71,313,64,644,66,8.12,1144.88,71,cell death;defense response;metabolic process;regulation of biological process;response to stimulus;transport,cytoskeleton;cytosol;extracellular;membrane;nucleus,catalytic activity;motor activity;protein binding;receptor activity;structural molecule activity,"Pf00038, Pf01576, Pf05103, Pf05957, Pf12128, Pf13166, Pf13514",3848,ENSG00000167768.4,12,Corticotropin-releasing hormone signaling pathway,KRT1,,Formation of the cornified envelope; Neutrophil degranulation,7,10,44945.5,42569,35727.7,118015.6,28565.7,34247.8,65997.3,312883.7,212370.7,139223.2,44945.5,29679.2,26046.1,107342.5,11220,11246,20397.8,63840.8,19699.4,9791,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,FALSE,720.366,75,65,351,35,646,70.9,5.52,1212.11,65,cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;endosome;extracellular;membrane;nucleus;organelle lumen;spliceosomal complex,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00012, Pf02463, Pf06723",3312,ENSG00000109971.13,11,Parkin-Ubiquitin Proteasomal System pathway; MAPK Signaling Pathway; Exercise-induced Circadian Regulation,HSPA8,Longevity regulating pathway - multiple species; Estrogen signaling pathway; Toxoplasmosis; Spliceosome; Endocytosis; Antigen processing and presentation; Influenza A; Protein processing in endoplasmic reticulum; Epstein-Barr virus infection; Legionellosis; Measles; MAPK signaling pathway,"Protein methylation; Clathrin-mediated endocytosis; Regulation of HSF1-mediated heat shock response; Golgi Associated Vesicle Biogenesis; GABA synthesis, release, reuptake and degradation; Lysosome Vesicle Biogenesis; CHL1 interactions; AUF1 (hnRNP D0) binds and destabilizes mRNA; Attenuation phase; Neutrophil degranulation; mRNA Splicing - Major Pathway; Interleukin-4 and 13 signaling; HSP90 chaperone cycle for steroid hormone receptors (SHR)",52,56,79320.5,76219.1,83784.8,79246.1,82743.9,67412.5,60061.5,40868.5,37429.6,36006.4,79320.5,53140.2,61080.4,72079.2,32499.9,22136.3,18563.2,8338.8,3471.9,2532.2,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,0,FALSE,674.467,68,72,407,42,732,84.6,5.02,1343.86,72,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",3320,ENSG00000080824.18,14,Nucleotide-binding Oligomerization Domain (NOD) pathway; TNF alpha Signaling Pathway; Corticotropin-releasing hormone signaling pathway; Aryl Hydrocarbon Receptor; EBV LMP1 signaling; Aryl Hydrocarbon Receptor Pathway; Constitutive Androstane Receptor Pathway; NRF2 pathway; VEGFA-VEGFR2 Signaling Pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,HSP90AA1,Progesterone-mediated oocyte maturation; Estrogen signaling pathway; Pathways in cancer; Antigen processing and presentation; Protein processing in endoplasmic reticulum; PI3K-Akt signaling pathway; Prostate cancer; NOD-like receptor signaling pathway,"Sema3A PAK dependent Axon repulsion; Regulation of PLK1 Activity at G2/M Transition; Recruitment of NuMA to mitotic centrosomes; Loss of Nlp from mitotic centrosomes; Scavenging by Class F Receptors; Neutrophil degranulation; Uptake and function of diphtheria toxin; Regulation of actin dynamics for phagocytic cup formation; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR); vRNP Assembly; Downregulation of ERBB2 signaling; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Constitutive Signaling by EGFRvIII; Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation; Recruitment of mitotic centrosome proteins and complexes; HSF1 activation; Attenuation phase; eNOS activation; Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants; VEGFR2 mediated vascular permeability; PIWI-interacting RNA (piRNA) biogenesis; Interleukin-4 and 13 signaling",86,6,42141.1,43428.3,47250.5,43044.5,47819.7,40916.7,34316.7,22925,15951.7,16043.9,42141.1,30278.4,34446.4,39151.6,18782.5,13435.9,10606.3,4677.6,1479.7,1128.3,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,0,FALSE,659.456,35,145,196,145,4646,532.1,6.4,569.89,145,cell division;cell organization and biogenesis;cellular component movement;regulation of biological process;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen,catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding,"Pf00769, Pf03028, Pf03915, Pf04156, Pf07246, Pf07728, Pf08385, Pf08393, Pf12774, Pf12775, Pf12777, Pf12780, Pf12781, Pf13173, Pf13207, Pf13401",1778,ENSG00000197102.10,14,,DYNC1H1,Salmonella infection; Vasopressin-regulated water reabsorption; Phagosome,COPI-independent Golgi-to-ER retrograde traffic; Regulation of PLK1 Activity at G2/M Transition; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Recruitment of NuMA to mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Loss of Nlp from mitotic centrosomes; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Neutrophil degranulation; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; COPI-mediated anterograde transport; MHC class II antigen presentation; HSP90 chaperone cycle for steroid hormone receptors (SHR),50,0,34188.1,33445.2,34425.7,34294.9,31017.4,25542.8,23426.8,21626.3,23986,40332.5,34188.1,23318.1,25096.8,31193.3,12182.9,8387.5,7240.5,4412.6,2224.9,2836.4,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,0,FALSE,649.394,35,143,225,143,4128,468.8,7.12,689.5,143,cell death;cell differentiation;cell organization and biogenesis;cell proliferation;defense response;metabolic process;regulation of biological process;response to stimulus,cytosol;membrane;nucleus,catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding,"Pf00454, Pf02259, Pf02260, Pf08163",5591,ENSG00000253729.7,8,miRNA Regulation of DNA Damage Response; Cell Cycle; Retinoblastoma (RB) in Cancer; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; Pathways Affected in Adenoid Cystic Carcinoma; ATM Signaling Network in Development and Disease; Non-homologous end joining; DNA Damage Response,PRKDC,Cell cycle; Non-homologous end-joining,Nonhomologous End-Joining (NHEJ); E3 ubiquitin ligases ubiquitinate target proteins; IRF3-mediated induction of type I IFN,22,0,66418.4,58722.3,58622,43482.1,23273.1,29729.4,27437.9,27937.5,29927.8,32658.9,66418.4,40941.4,42736.4,39549.7,9141.1,9762.3,8480.2,5700.4,2776.1,2296.8,High,High,High,High,High,High,High,High,High,High,1,
FALSE,High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,0,FALSE,647.962,53,109,195,89,1976,228.9,5.54,678.63,109,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;transport,cytoplasm;cytosol;nucleus,catalytic activity;motor activity;nucleotide binding;protein binding;transporter activity,"Pf00063, Pf00769, Pf01496, Pf01576, Pf02736, Pf04111, Pf05622, Pf05911, Pf06637, Pf07888, Pf09726, Pf12128, Pf13094, Pf13514",4628,ENSG00000133026.12,17,Regulation of Actin Cytoskeleton,MYH10,Tight junction; Salmonella infection; Regulation of actin cytoskeleton,RHO GTPases activate PAKs; EPHA-mediated growth cone collapse; RHO GTPases Activate ROCKs; Sema4D induced cell migration and growth-cone collapse; RHO GTPases activate CIT; RHO GTPases activate PKNs,18,3,27837.7,30262.6,30892.7,30458.2,28546,20364.5,21814.7,18476.5,14037.6,15497.2,27837.7,21099.1,22521.3,27703.6,11212.2,6687.1,6742.3,3770,1302.1,1089.9,High,High,High,High,High,High,High,High,High,High,1,
