Accession,Description,GeneName,Peptides.DMSO,PSMs.DMSO,AAs.DMSO,MW.kDA.DMSO,pI.DMSO,QuantifyingPSMs.DMSO,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens GN=UBA6 PE=1 SV=1,UBA6,54,260,1052,117.895,6.14,96,0.993,0.952,0.963,0.818,0.516,0.279,0.177,0.121,0.095,0.080
A0FGR8,Isoform 6 of Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2,ESYT2,4,10,942,104.643,9.33,3,0.993,1.025,0.801,0.703,0.548,0.431,0.324,0.310,0.161,0.122
A0JNW5,UHRF1-binding protein 1-like OS=Homo sapiens GN=UHRF1BP1L PE=1 SV=2,UHRF1BP1L,5,10,1464,164.095,6.32,4,0.993,0.986,0.956,0.806,0.660,0.462,0.227,0.097,0.041,0.045
A0MZ66,Isoform 3 of Shootin-1 OS=Homo sapiens GN=KIAA1598,KIAA1598,23,50,649,73.564,5.45,20,0.993,0.986,0.880,0.676,0.427,0.358,0.195,0.153,0.132,0.103
A1A5D9,Bicaudal D-related protein 2 OS=Homo sapiens GN=CCDC64B PE=2 SV=2,CCDC64B,2,4,508,56.8,5.02,1,0.993,0.887,1.066,1.125,1.177,0.962,1.011,0.928,0.860,0.650
A2A274,"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=2 SV=1",ACO2,41,178,805,87.765,7.37,70,0.993,0.951,0.934,0.888,0.672,0.363,0.171,0.101,0.072,0.059
A2A2Q9,Chromosome 20 open reading frame 4 OS=Homo sapiens GN=C20orf4 PE=4 SV=1,C20orf4,3,9,398,45.005,7.46,5,0.993,0.985,0.779,0.594,0.417,0.316,0.135,0.128,0.125,0.125
A2ABF9,Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens GN=EHMT2 PE=2 SV=1,EHMT2,6,14,1267,138.682,6.04,5,0.993,0.904,0.843,0.555,0.399,0.287,0.163,0.157,0.088,0.096
A2RTX5,"Probable threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens GN=TARSL2 PE=1 SV=1",TARSL2,4,10,802,92.586,6.05,3,0.993,0.844,0.702,0.680,0.387,0.271,0.195,0.157,0.078,0.081
A2RUC4,tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens GN=TYW5 PE=1 SV=1,TYW5,2,4,315,36.525,7.55,2,0.993,0.992,1.024,0.916,0.791,0.494,0.322,0.224,0.182,0.114
A3KN83,Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1,SBNO1,28,61,1393,154.216,7.88,27,0.993,0.998,0.916,0.797,0.576,0.330,0.136,0.106,0.064,0.060
A4D126,Isoprenoid synthase domain-containing protein OS=Homo sapiens GN=ISPD PE=1 SV=2,ISPD,4,12,451,49.841,6.25,6,0.993,1.045,0.963,0.936,0.835,0.760,0.635,0.578,0.504,0.397
A4D1E9,GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1,GTPBP10,2,8,387,42.906,9.03,3,0.993,0.902,0.840,0.598,0.344,0.187,0.124,0.079,0.060,0.067
A4D1P6,WD repeat-containing protein 91 OS=Homo sapiens GN=WDR91 PE=1 SV=2,WDR91,6,12,747,83.292,6.58,6,0.993,1.018,0.865,0.594,0.352,0.248,0.137,0.108,0.095,0.056
A4D212,DKFZP586J0619 protein OS=Homo sapiens GN=DKFZP586J0619 PE=2 SV=1,DKFZP586J0619,4,8,2394,265.588,6.68,4,0.993,1.016,0.760,0.544,0.351,0.318,0.148,0.121,0.118,0.082
A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2,POTEF,6,251,1075,121.367,6.2,1,0.993,0.906,1.110,1.144,1.066,0.949,0.796,0.662,0.570,0.489
