Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64,TotalExpt
P06733,Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,ENO1,291,15982,434,47.139,7.39,1737,0.996323677,1.028255687,1.009614821,1.016097588,1.018536347,1.000928492,0.938197455,0.79438904,0.737464529,0.520987687,8
P08238,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,HSP90AB1,263,9794,724,83.212,5.03,1135,0.996323677,0.992621688,0.991869935,0.925672507,0.640670861,0.343879343,0.19248947,0.120435958,0.083953118,0.0697304,8
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1",ACTB,105,5824,375,41.71,5.48,617,0.996323677,1.020196305,0.978756766,0.8595584,0.60233745,0.338815976,0.184995551,0.125451375,0.096015705,0.079605744,6
P07900,Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1,HSP90AA1,249,7850,854,98.099,5.16,1165,0.996323677,0.986008598,1.006406763,0.9357545,0.645073269,0.331602424,0.177300507,0.096595086,0.065292647,0.051338424,8
P63261,"Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1",ACTG1,73,4218,375,41.766,5.48,420,0.996323677,1.015378392,0.988251237,0.862699127,0.61502681,0.345419972,0.185592322,0.123979864,0.092703329,0.075957876,4
P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2,ALDOA,188,6588,364,39.395,8.09,1430,0.996323677,0.989454833,1.019687833,1.000675738,0.972573803,0.924152659,0.796643432,0.645365653,0.477404975,0.238952038,8
P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,HSPA8,204,6045,646,70.854,5.52,586,0.996323677,0.996716744,0.999529876,0.956045499,0.830603984,0.397459372,0.157832245,0.088732542,0.062494163,0.047828969,8
P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1",ACTC1,97,5275,377,41.992,5.39,139,0.996323677,1.025375042,0.966783073,0.839846652,0.59162043,0.316512123,0.136346373,0.07296451,0.053567485,0.041486149,8
P40926,"Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3",MDH2,120,3621,338,35.481,8.68,1453,0.996323677,0.998065023,1.02553382,1.003224467,0.976903299,0.880248335,0.680743443,0.344277136,0.116227799,0.078335007,8
P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",HSPD1,199,3331,573,61.016,5.87,1301,0.996323677,0.985572041,0.882426291,0.743360653,0.624690072,0.52684145,0.340152164,0.147781302,0.075009571,0.05157089,8
P00558,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,PGK1,153,3323,417,44.586,8.1,1266,0.996323677,0.996934292,1.024612856,0.992266372,0.962873333,0.58589648,0.184748602,0.114490694,0.073205205,0.059451123,8
P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,GAPDH,91,4619,335,36.03,8.46,205,0.996323677,0.988429903,1.026402396,1.008103946,0.995026486,0.953253026,0.794972039,0.494346128,0.248289893,0.15173718,6
Q09666,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2,AHNAK,1061,3442,5890,628.699,6.15,1403,0.996323677,0.986650148,0.977532433,0.928243081,0.863501574,0.748788578,0.625496172,0.512735653,0.434349452,0.371760667,8
P18206,Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4,VCL,475,4303,1134,123.722,5.66,1420,0.996323677,1.012132787,1.01581131,0.993040875,0.97801382,0.90273536,0.783712934,0.680235017,0.608228832,0.498284095,8
Q9Y490,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,TLN1,684,3620,2541,269.599,6.07,1384,0.996323677,0.997392813,1.013842499,0.973563497,0.803053686,0.31319275,0.152232814,0.087211312,0.063158208,0.050280476,8
P00338,Isoform 3 of L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA,LDHA,119,5451,361,39.812,8.43,1655,0.996323677,1.002406229,1.024211672,0.986588738,0.97412616,0.88050561,0.730260451,0.474174488,0.249557828,0.14301563,8
P50990,T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4,CCT8,238,3445,548,59.583,5.6,1211,0.996323677,1.000718414,0.999803448,0.946796167,0.830218761,0.672859566,0.328039238,0.120420223,0.07767397,0.056603271,8
P62979,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2,RPS27A,48,4450,156,17.953,9.64,34,0.996323677,1.025648136,1.00750014,0.955835623,0.86721359,0.744023578,0.548982971,0.377711641,0.197515565,0.143156996,8
P02008,Hemoglobin subunit zeta OS=Homo sapiens GN=HBZ PE=1 SV=2,HBZ,76,2832,142,15.627,8.21,1196,0.996323677,0.989222704,1.016274414,0.972397771,0.912719864,0.805727366,0.663477757,0.521663111,0.392309585,0.253679503,8
P62987,Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens GN=UBA52 PE=1 SV=2,UBA52,40,4405,128,14.719,9.83,20,0.996323677,1.033922202,0.979006077,0.969406976,1.016849043,1.0672622,0.956530511,0.689778914,0.341915009,0.185402943,8
P07437,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2,TUBB,149,3564,444,49.639,4.89,125,0.996323677,0.832013002,0.701945277,0.601753309,0.47746607,0.276706782,0.12810955,0.075283846,0.055212989,0.040987362,8
P13796,Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6,LCP1,234,3186,627,70.244,5.43,1155,0.996323677,1.007073611,1.02111621,0.992847812,0.955318117,0.886162872,0.784794643,0.674210869,0.568116703,0.391746265,8
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2,LDHB,104,3637,334,36.615,6.05,1038,0.996323677,0.996204672,1.0282899,1.009053472,1.00706119,0.961472954,0.838876892,0.643419152,0.419148425,0.221868351,8
P78371,T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4,CCT2,198,2437,535,57.452,6.46,1007,0.996323677,0.996480891,1.006350205,0.962393616,0.888096923,0.733378064,0.355885836,0.127105759,0.081029395,0.060800578,8
